Accession	Strain
SAMN07640745	USDA1004
SAMN07640746	USDA1005
SAMN07640747	USDA1006
SAMN07640748	USDA1007
SAMN07640749	USDA1008
SAMN07640750	USDA1010
SAMN07640751	USDA1018
SAMN07640752	USDA1020A
SAMN07640753	USDA1022
SAMN07640754	USDA1023
SAMN07640755	USDA1024A
SAMN07640756	USDA1025
SAMN07640757	USDA1027
SAMN07640758	USDA1031
SAMN07640759	USDA1035
SAMN07640760	USDA1066
SAMN07640761	USDA1107
SAMN07640762	USDA1146
SAMN07640763	USDA1148
SAMN07640764	USDA1149
SAMN07640765	USDA1150
SAMN07640766	USDA1158
SAMN07640767	USDA1161
SAMN07640768	USDA1162
SAMN07640769	USDA1163
SAMN07640770	USDA1169
SAMN07640771	USDA1170
SAMN07640772	USDA1171
SAMN07640773	USDA1180
SAMN07640774	USDA1183
SAMN07640775	USDA1184
SAMN07640776	USDA1186
SAMN07640777	USDA1187
SAMN07640778	USDA1191
SAMN07640779	USDA1195
SAMN07640780	USDA1198
SAMN07640781	USDA1199
SAMN07640782	USDA1200
SAMN07640783	USDA1201
SAMN07640784	USDA1202
SAMN07640785	USDA1203
SAMN07640786	USDA1204
SAMN07640787	USDA1205
SAMN07640788	USDA1206
SAMN07640789	USDA1208
SAMN07640790	USDA1210
SAMN07640791	USDA1211
SAMN07640792	USDA1212
SAMN07640793	USDA1214
SAMN07640794	USDA1215
SAMN07640795	USDA1220
SAMN07640796	USDA1221
SAMN07640797	USDA1222
SAMN07640798	USDA1225
SAMN07640799	USDA1227
SAMN07640800	USDA1232
SAMN07640801	USDA1235
SAMN07640802	USDA1237
SAMN07640803	USDA1248
SAMN07640804	USDA1264
SAMN07640805	USDA1280
SAMN07640806	USDA1289
SAMN07640807	USDA1302
SAMN07640808	USDA1308
SAMN07640809	USDA1320
SAMN07640810	USDA1325
SAMN07640811	USDA1335
SAMN07640812	USDA1336
SAMN07640813	USDA1357
SAMN07640814	USDA1379
SAMN07640815	USDA1389
SAMN07640816	USDA1397
SAMN07640817	USDA1415
SAMN07640818	USDA1416
SAMN07640819	USDA1433
SAMN07640820	USDA1456
SAMN07640821	USDA1462
SAMN07640822	USDA1463
SAMN07640823	USDA1464
SAMN07640824	USDA1467
SAMN07640825	USDA1480
SAMN07640826	USDA1491
SAMN07640827	USDA1496
SAMN07640828	USDA1497
SAMN07640829	USDA1501
SAMN07640830	USDA1508
SAMN07640831	USDA1519
SAMN07640832	USDA1520
SAMN07640833	USDA1530
SAMN07640834	USDA1533
SAMN07640835	USDA1550
SAMN07640836	USDA1561
SAMN07640837	USDA1562
SAMN07640838	USDA1565
SAMN07640839	USDA1566
SAMN07640840	USDA1571
SAMN07640841	USDA1580
SAMN07640842	USDA1581
SAMN07640843	USDA1583
SAMN07640844	USDA1584
SAMN07640845	USDA1589
SAMN07640846	USDA1590
SAMN07640847	USDA1591
SAMN07640848	USDA1593
SAMN07640849	USDA1594
SAMN07640850	USDA1603
SAMN07640851	USDA1606
SAMN07640852	USDA1607
SAMN07640853	USDA1608
SAMN07640854	USDA1611
SAMN07640855	USDA1612
SAMN07640856	USDA1613
SAMN07640857	USDA1614
SAMN07640858	USDA1616
SAMN07640859	USDA1617
SAMN07640860	USDA1618
SAMN07640861	USDA1623
SAMN07640862	USDA1624
SAMN07640863	USDA1626
SAMN07640864	USDA1629
SAMN07640865	USDA1630
SAMN07640866	USDA1631
SAMN07640867	USDA1632
SAMN07640868	USDA1633
SAMN07640869	USDA1638
SAMN07640870	USDA1641
SAMN07640871	USDA1642
SAMN07640872	USDA1652
SAMN07640873	USDA1655
SAMN07640874	USDA1656
SAMN07640875	USDA1659
SAMN07640876	USDA1660
SAMN07640877	USDA1661
SAMN07640878	USDA1664
SAMN07640879	USDA1666
SAMN07640880	USDA1670
SAMN07640881	USDA1676
SAMN07640882	USDA1678
SAMN07640883	USDA1687
SAMN07640884	USDA1688
SAMN07640885	USDA1691
SAMN07640886	USDA1692
SAMN07640887	USDA1694
SAMN07640888	USDA1695
SAMN07640889	USDA1696
SAMN07640890	USDA1699
SAMN07640891	USDA1700
SAMN07640892	USDA1702
SAMN07640893	USDA1703
SAMN07640894	USDA1706
SAMN07640895	USDA1708
SAMN07640896	USDA1710
SAMN07640897	USDA1719
SAMN07640898	USDA1724
SAMN07640899	USDA1730
SAMN07640900	USDA1734
SAMN07640901	USDA1742
SAMN07640902	USDA1751
SAMN07640903	USDA1760
SAMN07640904	USDA1767
SAMN07640905	USDA1770
SAMN07640906	USDA1777
SAMN07640907	USDA1787
SAMN07640908	USDA1788
SAMN07640909	USDA1790
SAMN07640910	USDA1791
SAMN07640911	USDA1792
SAMN07640912	USDA1793
SAMN07640913	USDA1794
SAMN07640914	USDA1795
SAMN07640915	USDA1796
SAMN07640916	USDA1803
SAMN07640917	USDA1804
SAMN07640918	USDA1808
SAMN07640919	USDA1810
SAMN07640920	USDA1819
SAMN07640921	USDA1830
SAMN07640922	USDA1855
SAMN07640923	USDA1883
SAMN07640924	USDA1903
SAMN07640925	USDA1919
SAMN07640926	USDA1927
SAMN07640927	2119
SAMN07640928	3011
SAMN07640929	3082
SAMN07640930	3085
