strain	2_3_Butanediol	2_Aminoethanol	Acetic_Acid	Adonitol	Anti_Ampic	Anti_Chlor	Anti_Eryth	Anti_Gent	Anti_Kana	Anti_Rif	Anti_Spec	Anti_Strept	Anti_Sulfa	Anti_Trime	Bromo_Succinic_Acid	Cis_Aconitic_Acid	Citric_Acid	D_Alanine	D_Arabitol	D_Cellobiose	D_Fructose	D_Galactonic_Acid_Lactone	D_Galactose	D_Galacturonic_Acid	D_Gluconic_Acid	D_Glucosaminic_Acid	D_Glucose_6_Phosphate	D_Glucuronic_Acid	D_L_Carnitine	D_L_Lactic_Acid	D_L_alpha_Glycerol_Phosphate	D_Mannitol	D_Mannose	D_Melibiose	D_Psicose	D_Raffinose	D_Saccharic_Acid	D_Serine	D_Sorbitol	D_Trehalose	Dextrin	Dyes_AcOr0.006	Dyes_AcOr0.013	Dyes_AcOr0.05	Dyes_Aur0.006	Dyes_Aur0.013	Dyes_Aur0.05	Dyes_MG0.006	Dyes_MG0.013	Dyes_MG0.05	Dyes_Nig0.006	Dyes_Nig0.013	Dyes_Nig0.05	Dyes_PrIo0.006	Dyes_PrIo0.013	Dyes_PrIo0.05	Flavonoid_Apigenin	Flavonoid_Daidzein	Flavonoid_Flavone	Flavonoid_Luteolin	Flavonoid_Naringenin	Flavonoid_Quercetin	Formic_Acid	Gentiobiose	Glucuronamide	Glycerol	Glycogen	Glycyl_L_Aspartic_Acid	Glycyl_L_Glutamic_Acid	Growth_Rate	Hydroxy_L_Proline	I_Erythritol	Inosine	Itaconic_Acid	L_Alaninamide	L_Alanine	L_Alanyl_Glycine	L_Arabinose	L_Asparagine	L_Aspartic_Acid	L_Fucose	L_Glutamic_Acid	L_Histidine	L_Leucine	L_Ornithine	L_Phenylalanine	L_Proline	L_Pyroglutamic_Acid	L_Rhamnose	L_Serine	L_Threonine	Lactulose	M_Inositol	Malonic_Acid	Maltose	N_Acetyl_D_Galactosamine	N_Acetyl_D_Glucosamine	NaCLmM_200	NaCLmM_300	NaCLmM_500	NaCLmM_600	NaCLmM_800	PC1	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PEG_.05	PEG_.10	PEG_.15	PEG_.20	PEG_.25	PEG_LWA	PEG_max	P_Hydroxy_Phenylacetic_Acid	Phenyethylamine	Propionic_Acid	Putrescine	Pyruvic_Acid_Methyl_Ester	Quinic_Acid	Salt_max	Sebacic_Acid	Siderophore	Succinamic_Acid	Succinic_Acid	Succinic_Acid_Mono_Methyl_ESter	Sucrose	Temp_20	Temp_28	Temp_37	Temp_40	Temp_43	Temp_max	Thymidine	Turanose	Tween_40	Tween_80	Uridine	Urocanic_Acid	Xylitol	alpha_Cyclodextrin	alpha_D_Glucose	alpha_D_Glucose_1_Phosphate	alpha_D_Lactose	alpha_Hydroxybutyric_Acid	alpha_Keto_Butyric_Acid	alpha_Keto_Glutaric_Acid	alpha_Keto_Valeric_Acid	beta_Hydroxybutyric_Acid	beta_Methyl_D_Glucoside	bio_1	bio_10	bio_11	bio_12	bio_13	bio_14	bio_15	bio_16	bio_17	bio_18	bio_19	bio_2	bio_3	bio_4	bio_5	bio_6	bio_7	bio_8	bio_9	gamma_Amino_Butyric_Acid	gamma_Hydroxy_Butyric_Acid	metal_Cd	metal_Cu	metal_Hg	metal_Se	metal_Te	metal_Zn	nodule_A17	nodule_R108	other_Brom..Blue	other_Calcofluor	other_Catalse	other_Congored	other_Gelatinase	other_H2S	other_KNO3.8..	other_Ketolactose	other_LB	other_MM	other_Motility	other_Nitrate	other_P..solubilization	other_Peroxidase	other_Starch.hydr.	other_TY	other_Urease24h	other_X.gal	pH_11	pH_5	pH_6	pH_7	pH_8	pH_9	weight_A17	weight_R108
1005	0.2880168185	0.170287316048	0.289418360196	0.459705676244	0	0	0	0	0	0	0	0	1	0	0.469516468115	0.0953048353189	0.264190609671	0.505255781359	0.621583742116	0.627890679748	0.964260686755	0.306236860547	0.958654519972	0.233356692362	0.281709880869	0.318149964961	0.204625087596	0.161177295025	0.232655921514	0.665732305536	0.188507358094	0.672039243167	0.987386124737	0.297827610371	0.68465311843	0.312543798178	0.122634898388	0.381920112123	0.805886475123	0.521373510862	0.66783461808	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0.77295024527	0.499649614576	0.176594253679	0.546601261388	0.334968465312	0.437981779958	0.860546601261	0.735294117647	0.900490539594	0.453398738612	0.527680448493	0.16608269096	0.876664330764	0.630693763139	0.632095304835	1.15136650315	0.803784162579	0.964961457603	0.782761037141	0.917309039944	0.421163279608	0.504555010512	0.489838822705	0.290819901892	0.993693062369	0.165381920112	0.73230553609	0.844428871759	0.379117028732	0.665732305536	0.576033637001	0.290119131044	0.875963559916	0.175192711983	0.463910301331	1	1	1	0	0	3.07918293107101	-0.107409219264956	-0.00784389025496357	0.117423144092239	-0.0792746650858246	0.00108561441039685	0.011170032522684	-0.0120326752678376	0.0147701379749315	0.00832759796489493	-1.5294678958876e-16	-0.631394230952569	1.04831551621786	-0.0653360442499057	-0.064152173315901	0.163584104171617	0.14053628383322	0.192454004810415	-0.165195903033385	1	1	1	1	0	1	0.2	0.0	0.167484232656	0.368605466013	0.233356692362	0.378416257884	0.220742817099	500	0.0	0	0.513665031535	0.922915206727	0.629292221444	1.0336370007	1	1	1	1	0	40	0.129642606868	1.0511562719	0.115627189909	0.0749824807288	0.489138051857	1.10861948143	0.453398738612	0.190609670638	1.00210231254	0.166783461808	0.81709880869	0.491941135249	0.172389628591	0.265592151367	0.170287316048	0.25087596356	0.386825508059	59	193	-91	829	109	24	43	313	85	303	85	118	27	10939	272	-164	436	180	-91	0.250175192712	0.496145760336	1	1	0	1	1	1	10.3600605261925	NA	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	0	-0.0958960826230763	NA
1006	0.0255929022351	0.0470909401126	0.707899675823	0.652619006995	1	1	1	0	1	0	1	0	1	0	0.639822555878	0.0317351987715	0.124381504863	0.758061764204	0.907012455212	0.910595461525	1.00272990957	0.130011943354	0.967411704487	0.134618665757	0.17966217369	0.0460672240232	0.0342944889951	0.0747312745265	0.398737416823	0.923903770688	0.0537450946937	0.883466985156	0.909571745436	0.770346357277	1.00887220611	0.639310697833	0.105954615253	0.430472615595	1.00426548371	1.02627537963	0.54205766934	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.07729056475	0.895239720184	0.65415458113	0.504180174032	0.280498208497	0.823579593926	0.788261388841	0.677200902782	0.912642893704	0.64442927828	0.288687937212	0.0204743217881	0.900870158676	0.950520389012	0.930046067224	0.965876130353	0.942842518342	0.89370414605	0.932093499403	0.984303019962	0.813342433032	0.793891827333	0.787237672752	0.00204743217881	0.957686401638	0.156628561679	0.873229824262	0.920320764375	0.79030882102	0.722231701075	0.985326736052	0.160211567992	1.05647500427	0.360859921515	0.891144855827	1	1	1	0	0	3.02980182836249	-0.043685415268186	-0.0240340831262257	0.147222540767269	-0.122813546921323	0.0201026442684082	-0.0050834594141138	-0.0124296973263581	0.04084191757156	0.00717159007551578	-4.77795016954641e-16	-0.570489736356837	1.32005247854128	-0.204442406853662	-0.0372749289202394	0.504771472411725	0.0928014796972736	0.223145234067282	-0.16298664375669	1	1	1	1	0	1	0.2	0.116191776147	0.07729056475	0.871694250128	0.0127964511176	0.65313086504	0.0993004606722	500	0.0281521924586	0	0.571233577888	0.888073707558	0.666951032247	1.03600068248	1	1	1	1	0	40	0.437126770176	1.04521412728	0.0	0.0	1.04367855315	0.920320764375	0.759597338338	0.116191776147	0.961269407951	0.08599215151	1.03497696639	0.750895751578	0.833304896775	0.431496331684	0.549223681966	0.715577546494	0.807200136495	67	202	-89	841	107	23	44	318	82	318	82	116	26	11206	279	-162	441	202	-89	0.702269237332	0.304555536598	1	1	0	1	1	1	5.9207817224991	-0.356751328897462	1	1	1	1	1	0	0	0	1	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	0.25259379702291	0.0120302061051829
1007	0.433410826968	0.158419129857	0.907671869811	0.551976087679	0	0	1	0	0	0	0	0	1	1	0.828960478246	0.590833610096	0.87080704085	0.951511125872	0.742278312853	0.795084689472	1.01727000996	0.752241780139	0.973430753902	0.768183327798	0.946529392228	0.766190634341	0.381600797077	0.798073729658	0.23812686815	0.936565924942	0.440385254068	0.894719362338	0.882763201594	0.712387910993	1.02424443706	0.819993357688	0.750249086682	0.865825307207	1.05911657257	1.0013284623	0.847891066091	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0.974427100631	1.06908003985	0.925606110927	0.745267353039	0.520092992361	0.966456326802	0.800066423115	0.722891566439	0.926602457655	0.22318166722	0.935569578213	0.368648289605	0.893723015609	0.922617070741	0.931584191299	0.721355031551	0.994354035204	0.966456326802	0.934573231485	0.905679176353	0.819993357688	0.851876453006	0.883759548323	0.416472932581	0.869810694122	0.64762537363	0.937562271671	0.887744935237	0.899701095981	1.02424443706	1.06409830621	0.504151444703	1.00332115576	0.509133178346	0.815011624045	1	1	1	0	0	3.84110620735086	-0.0342652429963703	0.0240704816077923	0.0691624890753506	-0.0176673959617435	0.0153462233314399	-0.0146373375293052	-0.0304323247495806	0.00465648006848807	0.0122210201620923	-2.65502979269486e-16	0.114138590448324	1.52682005787152	-0.138565106813818	-0.0534479716125	0.238028108754329	-0.0058515844427654	0.228428897658432	-0.114102449014632	1	1	0	0	0	1	0.1	0.210229159748	0.430421786782	0.745267353039	0.419461972767	0.9525074726	0.659581534374	500	0.0	0	0.958485552972	0.749252739954	0.760212553969	1.04417137164	1	1	1	1	0	40	0.603786117569	1.01428096978	0.453337761541	0.20126203919	0.895715709067	0.82597143806	0.87080704085	0.146462969113	0.938558618399	0.58784456991	0.978412487546	0.96745267353	1.03121886416	0.792095649286	0.355695782132	0.909664563268	0.939554965128	50	197	-117	689	104	16	52	289	57	289	57	124	25	12092	278	-199	477	197	-117	0.727333111923	0.787113915643	0	1	0	1	1	1	-5.20999840817309	-10.6338237516016	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	-0.159730749378282	-0.0499063280757687
1008	0.190754257908	0.0301703163017	0.435523114355	0.440389294404	1	1	1	1	1	0	1	1	1	1	0.492944038929	0.0428223844282	0.0447688564477	0.367396593674	0.917761557178	0.979075425791	0.928467153285	0.14695863747	0.995133819951	0.0671532846715	0.285644768856	0.108515815085	0.0423357664234	0.134793187348	0.266666666667	0.823844282238	0.0121654501217	0.858880778589	0.954257907543	0.539172749392	0.909489051095	0.339659367397	0.0301703163017	0.195620437956	0.865693430657	1.03260340633	0.571289537713	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0.893430656934	0.966423357664	0.366909975669	0.265693430657	0.256447688564	0.54695863747	0.676885644769	0.647948164287	0.839902676399	0.615571776156	0.920194647202	0.0155717761557	0.612652068127	0.628710462287	0.680778588808	0.994160583942	0.492944038929	0.683698296837	0.881751824818	0.765450121655	0.765450121655	0.67299270073	0.58296836983	0.0	0.772262773723	0.0506082725061	0.905596107056	0.860827250608	0.507055961071	0.913381995134	0.986374695864	0.105596107056	1.06812652068	0.210218978102	0.940145985401	1	1	1	1	0	0.0337545431208926	-0.0413824697457992	-0.00405697941643729	-0.0737412919385798	-0.0221259325476163	-0.0346296396504052	-0.0315460410065437	0.0444189343961447	-0.00135161213472723	-0.00681767388177216	3.55049906727904e-16	-2.66449176656149	0.259543950192061	-2.26259854033723	-0.180129653160005	0.815697624819946	-0.176622111128612	-0.106546589918906	0.107358529966615	1	1	1	1	0	1	0.2	0.0	0.0	0.732846715328	0.00827250608273	0.619464720195	0.115328467153	600	0.000973236009732	0	0.275912408759	0.853527980535	0.494890510949	1.06228710462	1	1	1	1	0	40	0.34501216545	1.06520681265	0.0	0.0	0.8199513382	0.94598540146	0.623357664234	0.029197080292	1.00924574209	0.0374695863747	1.02433090024	0.524574209246	0.609732360097	0.148418491484	0.379562043796	0.570316301703	0.634549878345	128	235	17	1082	108	73	12	305	237	305	237	115	32	8469	306	-45	351	235	17	0.558637469586	0.393187347932	1	1	0	1	1	1	6.79000159182691	6.17634062158454	1	1	1	1	1	0	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	-0.172898472350432	0.0280138429527115
1018	0.0573283858998	0.129684601113	0.528200371058	0.493135435993	1	1	1	1	1	0	1	0	1	1	0.445825602968	0.0823747680891	0.173654916512	0.614471243043	0.836549165121	0.769758812616	0.980705009276	0.277179962894	0.952319109462	0.234322820037	0.292764378479	0.19146567718	0.0862708719852	0.229313543599	0.339517625232	0.788682745826	0.0923933209647	0.716883116883	0.761966604824	0.546567717996	0.825417439703	0.499814471243	0.237105751391	0.340074211503	0.85547309833	0.984044526902	0.522077922078	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1.25510204082	0.905565862709	0.633395176252	0.637847866419	0.385157699443	0.72133580705	0.585528756957	0.671140939597	0.89387755102	0.615584415584	1.16716141002	0.0968460111317	0.712987012987	0.718552875696	0.715213358071	1.02356215213	0.719666048237	0.528200371058	0.852133580705	0.802040816327	0.691836734694	0.729684601113	0.695176252319	0.144155844156	0.857142857143	0.263821892393	0.879406307978	0.901669758813	0.460296846011	0.524304267161	0.922263450835	0.199814471243	0.950649350649	0.371243042672	0.777551020408	1	1	1	0	0	-2.0715401267293	-0.125930188555992	0.00817425466556154	-0.0897972883717294	-0.171164540275932	-0.0588775998121052	-0.0437713536056263	0.00518915216073362	0.00785069054945862	-0.00730094663152238	1.09108424620671e-16	3.10750424008589	0.276247833949276	-0.142172022183706	-0.131373365881716	-1.03603163388764	-0.24096095180573	-0.179318426197557	0.135597547369573	1	1	1	1	1	1	0.25	0.0350649350649	0.0935064935065	0.704081632653	0.183673469388	0.619480519481	0.174211502783	500	0.122448979592	0	0.33840445269	0.587755102041	0.715213358071	1.03413729128	1	1	1	1	0	40	0.259925788497	0.990166975881	0.0790352504638	0.0857142857143	0.712430426716	0.928942486085	0.547680890538	0.199257884972	0.985157699443	0.142486085343	0.92560296846	0.655102040816	0.638961038961	0.262152133581	0.517625231911	0.605009276438	0.632838589981	169	255	82	247	48	0	84	134	2	2	126	153	44	6814	364	22	342	100	255	0.407977736549	0.128571428571	1	1	0	1	1	1	-0.424968940990305	NA	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1	1	1	1	1	0.108574083999321	NA
1022	0.140070354973	0.472977294531	0.849056603774	0.473936680524	0	0	1	0	0	0	0	0	1	1	0.673488967061	0.0882635113527	0.0402942117045	0.528621682123	0.90278221938	1.0227054685	0.977614326831	0.100735529261	0.950751519028	0.111288775184	0.317556763671	0.0	0.0748321074512	0.218740006396	0.0757914934442	0.912376079309	0.0	1.00735529261	0.889350815478	0.862488007675	1.00159897665	0.852894147745	0.32043492165	0.160217460825	0.864406779661	1.02942117045	0.710905020787	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1.19251678925	0.759833706428	0.313719219699	0.384713783179	0.223536936361	0.739686600576	0.678285897026	0.806451612903	0.814518708027	0.623600895427	1.49376399105	0.0	0.608250719539	0.570834665814	0.791493444196	1.15989766549	0.675407739047	0.875919411577	0.730092740646	0.868244323633	0.797249760154	0.642788615286	0.596738087624	0.00575631595779	0.793412216182	0.214902462424	0.93540134314	0.745442916533	0.275343779981	0.670610809082	0.927726255197	0.0498880716342	0.976654940838	0.375119923249	0.771346338343	1	1	1	0	0	3.07918293107101	-0.107409219264956	-0.00784389025496357	0.117423144092239	-0.0792746650858246	0.00108561441039685	0.011170032522684	-0.0120326752678376	0.0147701379749315	0.00832759796489493	-1.5294678958876e-16	-0.631394230952569	1.04831551621786	-0.0653360442499057	-0.064152173315901	0.163584104171617	0.14053628383322	0.192454004810415	-0.165195903033385	1	1	1	1	1	1	0.25	0.394307643108	0.641829229293	0.788615286217	0.188999040614	0.502718260313	0.0441317556764	500	0.0163095618804	0	0.497921330349	0.903741605373	0.148704828909	1.07834985609	1	1	1	1	0	40	0.514230892229	0.943076431084	0.264790534058	0.195714742565	1.01982731052	1.22321714103	0.510393348257	0.0	0.944035817077	0.133354653022	0.840422129837	0.354013431404	0.332906939559	0.217780620403	0.107451231212	0.484489926447	0.631275983371	59	193	-91	829	109	24	43	313	85	303	85	118	27	10939	272	-164	436	180	-91	0.361688519348	0.126638951071	1	1	0	1	1	1	-16.2621227338721	-7.66089617430582	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	-0.24161398391768	0.11340713774328
1023	0.0152632917833	0.606715848385	0.795980666497	0.728822182651	1	0	1	0	1	0	1	0	1	1	0.761638259985	1.02874586619	1.05011447469	1.0279827016	0.800559654032	0.744848639023	0.999745611804	0.969982192826	0.97532434495	0.193080641058	1.00814042228	1.00890358687	0.238107351819	0.637242431951	0.676926990588	0.926481811244	0.205291274485	0.924955482066	0.852454846095	0.825744085474	0.715085220046	0.869244467057	0.935639786314	0.758585601628	0.976850674129	1.00814042228	0.689900788603	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1.04706181633	0.959297888578	0.56550496057	0.686848130247	0.453319765963	0.989824472144	0.818112439583	0.813008130081	0.82040193335	0.80208598321	0.906639531926	0.0870007631646	0.96616636988	1.00890358687	0.97608750954	0.789112185195	1.02264054948	1.05316713305	0.980666497075	0.988298142966	0.841770541847	0.82955990842	0.737980157721	0.901297379802	0.742559145256	0.152632917833	0.983719155431	0.886797252607	0.865428644111	0.949376748919	0.949376748919	0.366319002798	0.925718646655	0.713558890867	0.760875095396	1	1	0	0	0	-1.9948167111947	0.279243779795694	0.0224304378032602	0.0674075466144724	-0.0732147718285754	0.018268932192214	-0.00235520584099539	0.00983638322367874	-0.0151492040354907	0.00231019767072433	-3.30232576499853e-17	-2.48438140801449	1.28463005862531	-2.23583749216009	-0.0226869713958045	0.423240051734854	-0.455563104439106	0.107114979085663	0.302089413819849	1	1	0	0	0	1	0.1	0.815059781226	0.383871788349	0.818112439583	0.0	0.976850674129	0.982955990842	300	0.290765708471	0	0.988298142966	0.762401424574	0.789875349784	1.04782498092	1	1	1	1	0	40	0.831086237599	0.90282370898	0.0	0.0	0.90282370898	0.673874332231	0.960824217756	0.236581022641	0.952429407276	0.231238870516	0.961587382345	0.931060798779	0.890613075553	0.970745357415	0.634189773595	0.919613329941	0.90282370898	175	264	82	1162	136	63	23	384	214	384	275	130	40	7052	332	11	321	264	129	0.329687102518	0.143474942763	1	1	0	1	1	1	-9.67496894099031	-2.60675132889746	1	1	1	0	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0.018299083999321	-0.0407697938948171
1024	0.0149476831091	0.0545590433483	0.505979073244	0.68908819133	1	0	1	1	1	0	0	0	1	1	0.479073243647	0.0440956651719	0.0485799701046	0.658445440957	0.886397608371	1.02840059791	1.02316890882	0.0919282511211	0.905829596413	0.181614349776	0.194319880419	0.126307922272	0.0328849028401	0.0463378176383	0.886397608371	0.879671150972	0.01644245142	0.809417040359	0.940956651719	0.84379671151	0.954409566517	0.79446935725	0.10687593423	0.241405082212	1.02765321375	1.03961136024	0.416292974589	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1.07473841555	0.985799701046	0.620328849028	0.455156950673	0.257100149477	0.615844544096	0.801195814649	0.826446280992	0.945440956652	0.765321375187	0.929745889387	0.15620328849	0.779521674141	0.630044843049	0.879671150972	1.01494768311	0.869955156951	0.875186846039	0.0	0.913303437967	1.06427503737	0.0	0.548579970105	0.0	0.878923766816	0.0627802690583	0.964125560538	0.88490284006	0.63153961136	0.756352765321	0.956651718984	0.026158445441	1.03064275037	0.0	0.881165919283	1	1	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	0	0	0	1	0.1	0.0	0.0470852017937	0.856502242152	0.0859491778774	0.490284005979	0.034379671151	500	0.00747384155456	0	0.340059790732	0.831838565022	0.487294469357	1.01494768311	1	1	1	1	1	43	0.465620328849	1.08968609865	0.0	0.0	0.994768310912	1.02391629297	0.576233183857	0.0553064275037	0.961883408072	0.0	0.912556053812	0.5822122571	0.292227204783	0.0732436472347	0.396113602392	0.502989536622	0.717488789238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.701046337818	0.235426008969	1	1	0	1	1	1	-0.178749502034205	NA	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0.0595134094186364	NA
1025	0.290177829483	0.552434768157	0.705002492937	0.894465680572	1	0	1	0	0	0	0	0	1	0	0.646667774639	0.917400698022	0.971746717633	0.653647997341	0.838125311617	0.789263752701	0.954794748213	0.778294831311	0.972245304969	0.171514043543	0.946318763503	0.875020774472	0.206415157055	0.147581851421	0.709988366295	0.840618248296	0.156057836131	0.900947315938	0.900448728602	0.693534984211	0.795246800731	0.707495429616	0.83413661293	0.381917899285	0.826657802892	0.981718464351	0.533488449393	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1.04105035732	0.896958617251	0.660129632707	0.872029250457	0.535482798737	0.711982715639	0.690543460196	0.831024930978	0.824164866212	0.831643676251	1.14326076118	0.120159547947	0.873026425129	0.703506730929	0.864550440419	0.931859730763	0.962772145588	0.932358318099	0.856573043045	0.796742562739	0.818181818182	0.822669104205	0.561907927539	0.651653647997	0.782283529998	0.778294831311	0.875519361808	0.890975569221	0.59680904105	0.834635200266	1.04952634203	0.62472993186	0.90194449061	0.634203091241	0.816187468838	1	1	1	1	0	-1.282561426008	0.270057826484064	-0.0522467003789107	0.0449430881353629	-0.141786240450857	-0.0549366448605241	0.153266004329679	-0.0344149682116056	-0.0426170226438391	-0.0128364772264329	-5.73431892553533e-17	1.32747316494873	1.15224939816702	-1.6245450674556	1.00438962875064	-1.11945179286965	-0.483339722739446	1.04913491566715	0.547196570030454	1	1	0	0	0	1	0.1	0.655642346684	0.0892471331228	0.729433272395	0.493102875187	0.790260927372	0.864051853083	600	0.0618248296493	0	0.867043377098	0.651653647997	0.729433272395	0.956290510221	1	1	1	1	1	43	0.535482798737	0.894964267908	0.0822669104205	0.0857570217716	0.887485457869	0.547947482134	0.774306132624	0.220874189796	1.08891474157	0.283696194117	0.934352667442	0.618746883829	0.736413495097	0.842114010304	0.240817683231	0.707994016952	0.765830147914	146	242	59	539	74	10	41	183	53	144	160	172	46	7174	345	-23	368	236	175	0.592820342363	0.105700515207	1	1	0	1	1	1	-3.99039715775435	3.08628758341787	1	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	-0.226328231642403	-0.0333599350814315
1027	0.118343195266	0.164770141102	0.739189804279	0.617660446063	0	0	1	0	1	0	1	0	1	1	0.516158397815	0.0682749203459	0.233955393719	0.791989076013	0.79335457442	0.834774692763	1.00273099681	0.292216659081	0.923076923077	0.182066454256	0.387346381429	0.292216659081	0.167501137915	0.354119253528	0.581702321347	0.805188893946	0.0705507510241	0.836595357305	0.817478379609	0.794264906691	0.819299044151	0.783340919436	0.223031406463	0.396449704142	0.899408284024	0.873008648157	0.603095129722	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0.943104233045	0.881201638598	0.614929449249	0.64087391898	0.346381429222	0.741465634957	0.781975421029	0.6423982868	0.863905325444	0.699135184342	0.969959035048	0.0509786071916	0.85798816568	0.716431497497	0.869367319071	0.867546654529	0.88620846609	0.860719162494	0.85070550751	0.951297223487	0.862084660901	0.6513427401	0.700045516614	0.120163859809	0.81110605371	0.272189349112	0.938552571689	0.868912152936	0.573964497041	0.874829312699	0.933090578061	0.219845243514	0.928538916705	0.312243969049	0.817478379609	1	1	1	0	0	0.26187487648819	0.188260852319538	-0.253246521145971	0.0523743662395713	-0.0540540690910897	0.0170097960222604	0.00730858260807394	-0.0356795405575854	0.0291234249683446	0.0132450632566126	-2.47395484299716e-16	1.19160606090133	-1.17565761411186	0.704835123117259	0.206306004749809	-1.00223004316882	0.211581907605209	0.484466109946806	0.214444775058157	1	1	0	0	0	1	0.1	0.0728265817023	0.12835685025	0.739644970414	0.0714610832954	0.528903049613	0.255803368229	500	0.0919435593992	0	0.683204369595	0.736003641329	0.414201183432	1.00819299044	1	1	1	1	1	43	0.51570323168	0.98224852071	0.00682749203459	0.0	0.905325443787	0.988165680473	0.628129267183	0.0213928083751	0.989076012745	0.19208010924	0.960400546199	0.713245334547	0.661356395084	0.471096950387	0.41647701411	0.551661356395	0.428311333637	93	182	-1	407	53	6	46	148	30	52	128	128	38	7095	275	-58	333	86	178	0.707328174784	0.223941738735	1	1	0	1	1	1	-4.85954072422627	NA	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	-0.187423600358955	NA
