Strain_ID	Seq_ID	GWAS_ID	Seq_method	Sino_species	Host	Host_simple	Country	Lat	Long	Source	Date.Collected	Month	Year	Synonyms	Comments
2119	2119	2119	illumina_2	S. meliloti				NA	NA				2011		USDA 6489, S. meliloti 2011
3011	3011	3011	illumina_2	S. meliloti			South Africa	NA	NA	Australia			NA		R. meliloti, RF4, Australia: HENRI JANSEN et al 1982 says from Republic South Africa 1959 (australian authors)
3085	3085	3085	illumina_2	S. meliloti			Australia	NA	NA	Australia			NA		R. meliloti, WSM 486, Australia--did not find references to this id
USDA1005	USDA1005	1005	illumina_2	S. meliloti	Medicago sativa	M. sativa	USA	NA	NA	U. Wisconsin	1927		1927	3DOa5, No. 192F5	GH test 1946, 2/13/1984 GH test  Effective for M. sativa and M. alba, Hup -
USDA1006	USDA1006	1006	illumina_2	S. meliloti	Medicago sativa	M. sativa	USA	NA	NA	Caledonia, Minn.	Aug. 1932	Aug	1932	3DOa6, No. 102F6	GH test Dec. 1946, 2/13/1984GH test  Effective for M. sativa and M. alba, Hup - (Also noted source as Maryland, 1933)
USDA1007	USDA1007	1007	illumina_2	S. meliloti	Medicago sativa	M. sativa	USA	NA	NA	Minnesota	1932		1932	3DOa7	 2/13/1984 GH test  Effective for M. sativa and M. alba, Hup -
USDA1008	USDA1008	1008	illumina_2	S. meliloti	Medicago sativa	M. sativa	USA	NA	NA	Maryland	1933		1933	3DOa8	 2/13/1984 GH test  Effective for M. sativa and M. alba, Hup -
USDA1018	USDA1018	1018	illumina_2	S. meliloti	Medicago sativa	M. sativa	USA	NA	NA	California	1940		1940	3DOa18	GH test 2/13/1994 noneffective with M. sativa and M. alba.
USDA1022	USDA1022	1022	illumina_2	S. meliloti	Medicago sativa	M. sativa	USA	NA	NA	U. Wisconsin	1935		1935	3DOa22	GH test 2/13/1984 effective M. sativa, effective M. alba, Hup-
USDA1023	USDA1023	1023	illumina_2	S. meliloti	Medicago sativa	M. sativa	USA	NA	NA	South Carolina	1948		1948	3DOa23	GH test 2/13/1984 effective M. sativa, effective M. alba, Hup-
USDA1024A	USDA1024a	1024	illumina_2	S. meliloti	Medicago sativa	M. sativa	Africa	NA	NA	Africa	1950		1950	3DOa24a	GH test 2/13/1984 effective M. sativa, effective M. alba, Hup-
USDA1025	USDA1025	1025	illumina_2	S. meliloti	Medicago sativa	M. sativa	USA	NA	NA	Arizona	1949		1949	3DOa25	GH test 2/13/1984 effective M. sativa, effective M. alba, Hup-
